Project,Dataset,Age,LoC,Total Commits,Source buildable commits,Source buildability,Test buildable commits,Test buildability_A,Test buildability_S,Fully Testable commits,FullyTestability_A,FullyTestability_T,TestabilityRate_A,TestabilityRate_A_std,TestabilityRate_T,TestabilityRate_T_std
okio,ManySStub4J,3680,5573.0,1195,438,0.36652719665271966,431,0.3606694560669456,0.9840182648401826,314,0.26276150627615064,0.728538283062645,0.3601599455796985,0.47971926126760284,0.998587320110765,0.0023712525758205253
openmrs-core,ManySStub4J,5529,103299.0,11442,578,0.05051564411816116,576,0.050340849501835344,0.9965397923875432,0,0.0,0.0,0.050321989238634506,0.2185749824059533,0.9996253487299583,0.0005294110388705983
otto,ManySStub4J,2136,1344.0,205,18,0.08780487804878048,18,0.08780487804878048,1.0,18,0.08780487804878048,1.0,0.08780487804878048,0.2837037272896653,1.0,0.0
pinpoint,ManySStub4J,3292,246397.0,11863,201,0.016943437579027228,158,0.013318722077046279,0.7860696517412935,54,0.004551968304813285,0.34177215189873417,0.012435157274273318,0.10791126713455332,0.9336599414221796,0.1192765782600462
presto,ManySStub4J,3240,668076.0,18991,346,0.018219156442525405,332,0.017481965141382762,0.9595375722543352,168,0.008846295613711759,0.5060240963855421,0.017435463084335776,0.130716584586973,0.9973399982970503,0.006927360974767756
retrofit,ManySStub4J,3824,22003.0,1865,1431,0.7672922252010724,1431,0.7672922252010724,1.0,1411,0.7565683646112601,0.9860237596086653,0.7672048665107455,0.4226238020040611,0.9998861467802519,0.0010819301937990673
scribejava,ManySStub4J,3901,12916.0,1234,642,0.520259319286872,635,0.5145867098865479,0.9890965732087228,364,0.29497568881685576,0.573228346456693,0.5095244700584209,0.495292800975731,0.9901625134678605,0.02066093012035464
spark,ManySStub4J,3485,8655.0,1062,1051,0.9896421845574388,986,0.928436911487759,0.9381541389153187,921,0.867231638418079,0.934077079107505,0.9215031017063923,0.26020138485750627,0.9925317383490756,0.048568851652894665
spring-mvc-showcase,ManySStub4J,2847,1868.0,76,16,0.21052631578947367,16,0.21052631578947367,1.0,15,0.19736842105263158,0.9375,0.2102014294996751,0.4097673198921554,0.9984567901234568,0.006172839506172839
spring-petclinic,ManySStub4J,4392,1230.0,739,531,0.7185385656292287,531,0.7185385656292287,1.0,519,0.7023004059539919,0.9774011299435028,0.7161375438568923,0.4500571681578978,0.9966584649910422,0.043957700601915554
spring-security-oauth,ManySStub4J,3962,38810.0,1406,769,0.5469416785206259,611,0.4345661450924609,0.7945383615084526,227,0.16145092460881935,0.37152209492635024,0.42373048227519106,0.48378552351225335,0.9750655615039585,0.024690627748772072
springside4,ManySStub4J,2357,2879.0,1074,459,0.4273743016759777,260,0.24208566108007448,0.5664488017429193,34,0.03165735567970205,0.13076923076923078,0.23626347288732089,0.4182938803006045,0.9759498841576255,0.01380755859176761
storm,ManySStub4J,3567,239208.0,10440,1636,0.15670498084291187,888,0.08505747126436781,0.5427872860635696,53,0.005076628352490421,0.059684684684684686,0.08069486416513658,0.2673778169275276,0.9487098895090381,0.13017381487229107
swagger-codegen,ManySStub4J,3635,145376.0,11344,3577,0.31532087447108603,3480,0.3067700987306065,0.9728823036063741,3367,0.2968088857545839,0.9675287356321839,0.30620404196071843,0.46040525215970607,0.998154785058158,0.015762379489813825
swagger-core,ManySStub4J,3616,42316.0,3975,2739,0.6890566037735849,2701,0.679496855345912,0.986126323475721,2487,0.6256603773584906,0.9207700851536468,0.6775356979698463,0.46606072506042007,0.9971138094891295,0.030512257916429426
titan,ManySStub4J,1376,62150.0,4434,1206,0.2719891745602165,699,0.15764546684709066,0.5796019900497512,191,0.04307622913847542,0.2732474964234621,0.1566471950585889,0.3624286885423235,0.9936676150068429,0.036352305879119584
twitter4j,ManySStub4J,4077,23967.0,2318,851,0.3671268334771355,849,0.36626402070750647,0.9976498237367802,0,0.0,0.0,0.13246387525564637,0.18063569741076874,0.3616622648322595,0.07850556771002778
vert.x,ManySStub4J,2891,102722.0,5031,304,0.060425362750944143,303,0.06022659511031604,0.9967105263157895,0,0.0,0.0,0.05863237604910502,0.23192680388314277,0.9735296498450406,0.047729488136326756
javaee7-samples,ManySStub4J,2575,26893.0,1537,438,0.2849707221860768,352,0.22901756668835394,0.8036529680365296,0,0.0,0.0,0.061728681930373536,0.21985310823777626,0.2695368867243867,0.39414136206982286
java-design-patterns,ManySStub4J,2511,31891.0,3112,733,0.23553984575835477,565,0.18155526992287918,0.7708049113233287,350,0.11246786632390746,0.6194690265486725,0.18042401425377108,0.38316558202559436,0.9937690838190011,0.010943217621858606
hadoop,ManySStub4J,4419,,25039,106,0.004233395902392268,106,0.004233395902392268,1.0,0,0.0,0.0,0.004193874902091538,0.06432188457788561,0.9906644686176416,0.0011280950247139674
guava,ManySStub4J,4388,408029.0,5578,1260,0.22588741484403013,1032,0.18501254930082467,0.819047619047619,0,0.0,0.0,0.18501196195931158,0.3883413268391628,0.9999968253963566,8.020779396953113e-05
Bukkit,ManySStub4J,1325,26295.0,1509,1404,0.9304174950298211,742,0.4917163684559311,0.5284900284900285,736,0.487740225314778,0.9919137466307277,0.49166022752688454,0.5000412847858399,0.9998858266011709,0.0016099766862514697
